label,dwell_seconds,velocity_magnitude,confidence,is_near_door,time_of_day_hour
normal,1.55,1.1,0.76,0.0,16.0
normal,2.86,0.71,0.89,0.0,22.0
normal,2.33,1.13,0.75,0.0,22.0
normal,0.37,1.2,0.72,0.0,10.0
normal,0.91,1.68,0.97,0.0,22.0
normal,10.23,1.16,0.74,0.0,18.0
normal,5.06,1.16,0.74,0.0,7.0
anomaly,6.15,1.38,0.77,0.0,2.0
normal,12.37,1.88,0.92,0.0,14.0
normal,4.39,0.85,0.73,0.0,19.0
normal,3.04,0.93,0.76,0.0,14.0
normal,3.22,1.2,0.97,0.0,22.0
normal,9.57,1.37,0.76,0.0,16.0
normal,2.14,1.29,0.74,0.0,17.0
normal,1.29,1.62,0.83,0.0,14.0
normal,2.27,1.21,0.76,0.0,18.0
normal,1.41,1.51,0.83,0.0,6.0
normal,1.33,1.31,0.88,0.0,20.0
normal,12.97,1.39,0.97,0.0,21.0
normal,15.91,1.07,0.91,0.0,9.0
anomaly,72.72,0.16,0.85,1.0,6.0
normal,11.64,0.92,0.78,0.0,14.0
normal,0.52,0.87,0.8,0.0,8.0
normal,1.48,0.75,0.71,0.0,14.0
normal,4.51,1.34,0.9,0.0,11.0
normal,2.29,1.01,0.95,0.0,11.0
normal,2.37,0.9,0.76,0.0,15.0
normal,1.47,0.8,0.96,0.0,16.0
normal,9.94,0.77,0.87,0.0,22.0
normal,3.39,1.1,0.74,0.0,7.0
normal,14.26,0.93,0.74,0.0,19.0
normal,5.66,0.4,0.96,0.0,12.0
normal,1.23,0.75,0.88,0.0,20.0
normal,3.38,0.85,0.82,0.0,13.0
normal,2.04,1.06,0.87,0.0,8.0
normal,5.77,0.98,0.97,0.0,11.0
normal,5.99,1.18,0.97,0.0,8.0
normal,8.16,0.7,0.81,0.0,13.0
normal,0.71,1.17,0.71,0.0,8.0
normal,2.28,0.76,0.7,0.0,14.0
normal,5.67,1.06,0.76,0.0,20.0
normal,13.19,0.95,0.76,0.0,7.0
normal,0.53,1.47,0.72,0.0,14.0
normal,2.62,1.42,0.9,0.0,14.0
normal,8.44,1.12,0.97,0.0,15.0
normal,14.77,1.0,0.85,0.0,11.0
normal,3.64,1.3,0.96,0.0,18.0
normal,4.15,0.75,0.96,0.0,7.0
normal,0.6,1.96,0.79,0.0,17.0
normal,1.07,1.71,0.91,0.0,6.0
normal,1.58,1.12,0.88,0.0,19.0
normal,1.09,0.6,0.95,0.0,8.0
normal,0.95,1.35,0.72,0.0,15.0
normal,0.72,1.21,0.99,0.0,12.0
normal,13.78,0.97,1.0,0.0,15.0
normal,7.5,0.98,0.77,0.0,11.0
normal,13.33,0.68,0.92,0.0,9.0
normal,0.58,1.14,0.72,0.0,8.0
normal,1.0,0.69,0.94,0.0,10.0
anomaly,0.42,0.93,0.79,0.0,3.0
normal,3.91,0.39,0.81,0.0,18.0
normal,4.17,0.76,0.8,0.0,8.0
normal,1.7,1.1,0.84,0.0,22.0
normal,3.46,1.29,0.83,0.0,18.0
normal,2.47,0.76,0.74,0.0,14.0
normal,5.19,1.07,0.97,0.0,10.0
normal,4.54,1.47,0.76,0.0,16.0
normal,3.16,1.29,0.81,0.0,20.0
normal,3.21,1.1,0.95,0.0,7.0
normal,2.51,0.96,0.81,0.0,7.0
normal,8.51,0.88,0.9,0.0,6.0
normal,4.86,1.05,0.86,0.0,18.0
normal,11.71,1.49,0.86,0.0,18.0
normal,8.2,1.23,0.76,0.0,12.0
normal,6.08,1.24,0.71,0.0,17.0
normal,2.73,1.22,0.79,0.0,8.0
anomaly,87.51,0.1,0.78,0.0,22.0
normal,1.97,1.12,0.74,0.0,12.0
normal,7.83,1.11,0.84,0.0,9.0
normal,4.57,0.98,0.72,0.0,20.0
normal,9.12,0.98,0.79,0.0,22.0
normal,11.38,1.39,0.97,0.0,21.0
normal,1.26,1.15,0.74,0.0,16.0
normal,2.32,0.84,0.84,0.0,17.0
normal,0.81,1.43,0.83,0.0,22.0
normal,3.36,1.23,0.82,0.0,16.0
normal,4.49,1.41,0.98,0.0,19.0
normal,0.27,1.17,0.99,0.0,11.0
normal,3.99,1.21,0.95,0.0,21.0
normal,2.0,1.78,0.88,0.0,14.0
normal,0.45,0.89,0.97,0.0,21.0
normal,1.82,1.42,0.72,0.0,16.0
normal,1.93,1.3,0.78,0.0,6.0
normal,0.4,1.55,0.96,0.0,13.0
normal,2.39,1.56,0.76,0.0,18.0
normal,10.97,0.7,0.95,0.0,11.0
normal,7.81,1.19,0.81,0.0,19.0
normal,3.93,1.36,0.8,0.0,7.0
normal,0.56,0.8,0.92,0.0,13.0
normal,1.72,1.59,0.97,0.0,14.0
normal,4.31,0.95,0.85,0.0,12.0
normal,2.75,1.2,0.92,0.0,9.0
normal,1.92,1.54,0.77,0.0,19.0
normal,0.23,0.92,0.78,0.0,17.0
normal,12.53,1.61,1.0,0.0,8.0
normal,6.71,1.14,0.78,0.0,12.0
normal,0.11,1.26,0.87,0.0,17.0
normal,2.44,0.63,0.91,0.0,8.0
anomaly,84.85,0.06,0.94,0.0,14.0
normal,16.36,0.87,0.78,0.0,8.0
normal,9.22,1.31,0.87,0.0,8.0
normal,5.29,1.67,0.96,0.0,20.0
normal,7.09,1.46,0.94,0.0,19.0
normal,4.71,1.33,0.74,0.0,18.0
normal,0.42,1.4,0.86,0.0,16.0
normal,2.43,1.31,0.83,0.0,17.0
normal,5.4,1.24,0.97,0.0,20.0
normal,1.94,1.23,0.82,0.0,15.0
normal,2.48,1.35,0.73,0.0,18.0
normal,6.07,1.39,0.95,0.0,20.0
normal,0.82,1.1,0.72,0.0,19.0
normal,12.42,1.53,0.88,0.0,21.0
normal,0.28,1.35,0.9,0.0,8.0
normal,1.85,0.73,0.95,0.0,15.0
normal,2.22,1.31,0.96,0.0,11.0
normal,8.1,1.48,0.85,0.0,13.0
normal,6.71,1.2,0.83,0.0,20.0
normal,1.03,1.44,0.71,0.0,13.0
normal,3.12,1.4,0.91,0.0,18.0
normal,1.84,1.17,0.76,0.0,8.0
normal,20.0,0.67,0.88,0.0,19.0
normal,6.7,1.5,0.72,0.0,9.0
normal,1.91,1.25,0.77,0.0,11.0
normal,0.84,1.22,0.79,0.0,22.0
normal,0.65,1.77,0.8,0.0,11.0
normal,1.79,0.98,0.91,0.0,16.0
anomaly,122.31,0.15,0.98,1.0,6.0
normal,1.51,1.38,0.91,0.0,17.0
normal,6.01,1.12,0.97,0.0,10.0
normal,1.98,1.05,0.86,0.0,22.0
normal,3.09,1.25,0.82,0.0,19.0
normal,0.94,1.77,0.75,0.0,15.0
anomaly,94.32,0.08,0.92,1.0,8.0
normal,1.62,1.38,0.71,0.0,9.0
normal,1.2,1.09,0.91,0.0,8.0
normal,1.77,1.72,0.79,0.0,14.0
normal,2.55,1.33,0.8,0.0,16.0
normal,12.69,0.93,0.78,0.0,9.0
normal,11.51,0.78,0.78,0.0,17.0
normal,0.84,1.43,0.78,0.0,20.0
normal,5.78,1.31,0.98,0.0,19.0
normal,7.08,1.36,0.77,0.0,12.0
normal,9.06,1.73,0.81,0.0,17.0
normal,18.89,1.21,0.82,0.0,6.0
normal,0.39,1.1,0.72,0.0,19.0
normal,3.67,1.88,0.89,0.0,18.0
normal,2.9,0.8,0.78,0.0,21.0
normal,1.39,1.01,0.97,0.0,6.0
normal,0.76,1.17,0.74,0.0,14.0
normal,8.8,1.19,0.79,0.0,22.0
normal,2.98,1.16,0.72,0.0,22.0
normal,8.07,1.35,0.81,0.0,17.0
normal,3.54,0.69,0.83,0.0,8.0
normal,0.17,1.18,0.9,0.0,16.0
normal,4.47,1.53,0.93,0.0,15.0
normal,3.85,1.43,0.83,0.0,14.0
normal,7.5,1.39,0.83,0.0,6.0
normal,1.17,0.95,0.94,0.0,14.0
normal,1.05,1.41,0.9,0.0,17.0
normal,2.14,1.41,0.86,0.0,21.0
normal,2.36,1.36,0.78,0.0,12.0
normal,4.61,1.5,0.92,0.0,18.0
normal,3.23,0.94,0.75,0.0,16.0
normal,0.98,0.89,0.74,0.0,7.0
normal,8.87,1.31,0.77,0.0,10.0
normal,3.14,1.78,0.93,0.0,22.0
normal,0.6,1.37,0.81,0.0,14.0
normal,6.64,1.49,0.8,0.0,18.0
normal,4.23,1.05,0.76,0.0,20.0
normal,2.93,1.32,0.88,0.0,12.0
normal,6.93,0.51,0.86,0.0,11.0
normal,1.88,1.16,0.97,0.0,13.0
normal,16.96,1.54,0.96,0.0,13.0
normal,0.14,1.49,0.91,0.0,20.0
normal,3.22,1.13,0.9,0.0,6.0
normal,3.58,1.27,0.96,0.0,22.0
normal,1.05,1.43,0.77,0.0,15.0
normal,0.8,0.99,0.9,0.0,15.0
normal,2.37,1.13,0.91,0.0,16.0
normal,5.05,1.45,0.82,0.0,9.0
normal,6.22,1.22,0.84,0.0,8.0
normal,3.0,0.85,0.88,0.0,19.0
anomaly,50.67,0.25,0.99,0.0,7.0
normal,4.33,1.38,0.99,0.0,9.0
normal,8.9,1.28,0.84,0.0,6.0
normal,0.32,1.11,0.74,0.0,13.0
normal,7.59,1.17,0.99,0.0,6.0
normal,5.55,0.7,0.78,0.0,20.0
normal,0.62,1.23,0.77,0.0,19.0
normal,1.78,1.31,0.88,0.0,7.0
normal,20.0,1.14,0.95,0.0,18.0
normal,9.31,1.38,0.83,0.0,21.0
normal,6.09,0.99,0.72,0.0,7.0
normal,15.81,0.62,0.72,0.0,6.0
normal,2.49,1.12,0.96,0.0,11.0
normal,2.93,0.97,0.98,0.0,13.0
normal,3.6,0.5,0.95,0.0,14.0
normal,3.28,1.4,0.77,0.0,10.0
normal,0.22,1.93,0.75,0.0,10.0
normal,3.58,0.99,0.89,0.0,8.0
normal,3.78,0.66,0.79,0.0,14.0
normal,0.92,1.39,0.89,0.0,6.0
normal,0.76,1.77,0.74,0.0,14.0
normal,0.01,1.07,0.9,0.0,6.0
normal,2.64,0.85,0.91,0.0,8.0
normal,12.65,1.6,0.92,0.0,15.0
normal,16.88,1.31,0.71,0.0,10.0
normal,11.67,1.62,0.98,0.0,20.0
normal,0.9,0.66,0.73,0.0,6.0
normal,5.96,1.01,0.77,0.0,19.0
normal,7.46,1.07,0.88,0.0,15.0
normal,0.64,0.76,0.88,0.0,8.0
normal,1.75,1.32,0.85,0.0,20.0
normal,6.89,1.1,0.92,0.0,6.0
normal,0.26,1.33,0.91,0.0,16.0
normal,9.66,0.91,0.72,0.0,22.0
normal,4.74,0.96,0.79,0.0,16.0
normal,10.17,1.35,0.95,0.0,8.0
normal,5.09,0.76,0.89,0.0,11.0
normal,0.7,1.01,0.88,0.0,20.0
normal,16.04,1.65,0.81,0.0,22.0
normal,10.45,0.99,0.94,0.0,12.0
normal,11.0,1.66,0.72,0.0,13.0
normal,3.46,1.15,0.78,0.0,14.0
normal,4.19,1.64,0.76,0.0,11.0
normal,4.74,1.31,0.9,0.0,12.0
normal,8.19,1.41,1.0,0.0,14.0
normal,2.48,0.96,0.93,0.0,18.0
normal,0.1,1.25,0.7,0.0,19.0
normal,12.38,1.28,0.8,0.0,19.0
normal,13.36,0.88,0.71,0.0,21.0
normal,1.87,1.52,0.94,0.0,17.0
normal,12.0,1.09,0.78,0.0,17.0
normal,4.15,0.93,0.99,0.0,20.0
normal,2.16,1.59,0.71,0.0,8.0
normal,1.63,0.86,0.77,0.0,22.0
normal,5.96,1.06,0.77,0.0,7.0
normal,20.0,0.83,0.91,0.0,12.0
normal,8.47,1.21,0.78,0.0,19.0
normal,11.56,1.59,0.83,0.0,9.0
normal,14.81,1.19,0.71,0.0,21.0
normal,2.97,1.55,0.98,0.0,20.0
normal,3.26,1.08,0.7,0.0,11.0
normal,2.1,1.16,0.71,0.0,20.0
normal,11.79,1.91,0.94,0.0,13.0
normal,0.36,1.4,0.82,0.0,6.0
normal,7.35,1.42,0.75,0.0,13.0
normal,0.2,0.84,0.81,0.0,12.0
normal,1.37,1.55,0.79,0.0,15.0
normal,1.85,1.1,0.81,0.0,20.0
normal,11.48,0.7,0.83,0.0,10.0
normal,0.7,1.24,0.76,0.0,14.0
normal,7.26,0.97,0.89,0.0,10.0
normal,11.59,0.94,0.78,0.0,20.0
normal,2.88,1.22,0.88,0.0,18.0
normal,0.44,0.98,0.73,0.0,8.0
normal,5.48,1.01,0.76,0.0,10.0
normal,1.12,1.18,0.72,0.0,15.0
normal,3.88,1.23,0.72,0.0,16.0
normal,7.05,1.34,0.85,0.0,17.0
normal,1.73,1.94,0.8,0.0,11.0
normal,2.76,1.53,0.89,0.0,6.0
normal,3.76,1.48,0.96,0.0,18.0
normal,1.37,0.62,0.7,0.0,17.0
anomaly,83.4,0.05,0.61,0.0,9.0
normal,0.06,1.47,0.98,0.0,7.0
normal,13.94,1.8,0.73,0.0,12.0
normal,9.76,1.0,0.85,0.0,12.0
normal,0.83,1.45,0.97,0.0,9.0
normal,4.61,1.3,0.74,0.0,20.0
normal,3.55,1.63,0.88,0.0,10.0
normal,0.93,1.28,0.71,0.0,17.0
anomaly,38.98,0.14,0.89,0.0,14.0
normal,11.02,1.18,0.79,0.0,7.0
normal,1.77,0.77,0.98,0.0,6.0
normal,3.35,1.47,0.82,0.0,16.0
normal,7.28,0.91,0.84,0.0,16.0
normal,1.33,0.93,0.76,0.0,8.0
normal,18.15,1.33,0.74,0.0,21.0
normal,4.38,1.33,0.94,0.0,21.0
normal,10.59,1.33,0.78,0.0,19.0
normal,2.47,1.17,0.92,0.0,22.0
normal,16.54,0.63,0.87,0.0,14.0
normal,9.19,0.94,0.73,0.0,7.0
normal,0.11,1.52,0.74,0.0,13.0
normal,1.21,1.12,0.95,0.0,21.0
normal,0.21,1.12,0.8,0.0,7.0
anomaly,5.8,1.42,0.92,0.0,23.0
normal,5.79,1.43,0.81,0.0,15.0
normal,0.84,0.79,0.94,0.0,19.0
normal,2.59,1.58,0.76,0.0,19.0
normal,6.99,1.12,0.93,0.0,21.0
normal,7.97,1.22,0.86,0.0,12.0
anomaly,7.15,1.42,0.67,0.0,23.0
normal,1.61,1.39,0.78,0.0,21.0
normal,15.84,1.21,0.96,0.0,7.0
normal,0.74,1.24,1.0,0.0,10.0
normal,10.39,1.11,0.99,0.0,18.0
normal,20.0,1.65,0.78,0.0,16.0
normal,1.98,1.05,0.8,0.0,9.0
normal,4.78,1.4,0.96,0.0,21.0
normal,8.32,0.61,0.94,0.0,8.0
normal,0.3,1.4,0.8,0.0,21.0
normal,8.45,1.05,0.73,0.0,7.0
normal,1.89,0.88,0.78,0.0,20.0
normal,3.43,1.64,0.75,0.0,12.0
normal,3.1,0.96,0.91,0.0,16.0
normal,11.44,1.58,0.72,0.0,12.0
normal,2.99,0.92,0.77,0.0,6.0
normal,10.75,0.93,0.73,0.0,15.0
normal,19.44,1.47,0.97,0.0,10.0
normal,1.13,0.94,0.87,0.0,14.0
anomaly,3.79,1.31,0.87,0.0,3.0
normal,3.82,1.34,0.9,0.0,21.0
normal,8.69,1.52,0.92,0.0,20.0
normal,2.55,1.38,0.91,0.0,17.0
normal,1.74,1.51,0.89,0.0,20.0
normal,2.12,1.52,0.92,0.0,15.0
normal,3.65,0.95,0.75,0.0,15.0
normal,8.98,1.32,0.9,0.0,14.0
normal,3.63,0.79,0.98,0.0,21.0
normal,16.17,1.13,0.73,0.0,20.0
normal,0.07,0.92,0.73,0.0,15.0
normal,14.0,1.49,0.94,0.0,17.0
normal,16.52,0.97,0.73,0.0,10.0
normal,4.62,1.06,0.94,0.0,11.0
normal,0.2,0.84,0.87,0.0,17.0
normal,7.64,1.34,0.95,0.0,6.0
normal,8.22,1.12,0.77,0.0,22.0
normal,2.78,0.89,0.92,0.0,20.0
normal,0.52,1.15,0.94,0.0,8.0
normal,7.81,1.16,0.96,0.0,17.0
normal,1.37,0.8,0.7,0.0,7.0
normal,4.71,1.35,0.98,0.0,21.0
normal,4.0,1.19,0.76,0.0,20.0
normal,1.38,0.71,0.73,0.0,8.0
normal,3.6,0.83,0.71,0.0,17.0
anomaly,5.2,0.87,0.76,0.0,1.0
normal,1.62,0.52,0.82,0.0,15.0
normal,1.86,1.43,0.72,0.0,18.0
normal,15.87,1.17,0.82,0.0,19.0
normal,0.44,1.67,0.84,0.0,13.0
normal,0.59,1.03,0.74,0.0,15.0
normal,7.8,1.45,0.77,0.0,19.0
normal,5.53,0.57,0.75,0.0,17.0
normal,4.0,1.22,0.76,0.0,14.0
anomaly,76.29,0.14,0.72,0.0,22.0
normal,0.24,1.39,0.88,0.0,15.0
normal,10.47,1.39,0.76,0.0,14.0
normal,4.94,1.18,0.91,0.0,15.0
normal,0.76,1.21,0.76,0.0,13.0
normal,4.81,1.15,0.83,0.0,14.0
normal,3.24,1.06,0.82,0.0,22.0
normal,2.59,1.19,0.96,0.0,22.0
normal,6.86,0.95,0.78,0.0,22.0
normal,2.35,0.96,0.94,0.0,17.0
normal,2.81,1.17,0.77,0.0,15.0
normal,11.17,1.39,0.95,0.0,17.0
normal,16.09,0.54,0.85,0.0,12.0
normal,0.32,1.4,0.75,0.0,6.0
normal,8.03,1.09,0.91,0.0,6.0
normal,10.51,1.04,0.8,0.0,17.0
normal,0.27,1.65,0.77,0.0,11.0
normal,5.54,1.07,0.85,0.0,10.0
normal,0.77,1.25,0.92,0.0,20.0
normal,0.12,1.39,0.86,0.0,15.0
normal,0.09,0.82,0.81,0.0,21.0
normal,1.09,1.43,0.97,0.0,14.0
normal,4.95,1.13,0.78,0.0,17.0
normal,3.01,1.21,0.94,0.0,9.0
normal,7.6,1.24,0.79,0.0,14.0
normal,7.17,0.76,0.86,0.0,9.0
normal,10.77,0.9,0.75,0.0,15.0
normal,6.35,1.19,0.75,0.0,11.0
normal,2.87,1.32,0.9,0.0,13.0
normal,10.28,0.88,0.87,0.0,16.0
normal,3.9,1.08,0.73,0.0,9.0
normal,13.34,1.11,0.72,0.0,21.0
normal,7.73,1.17,1.0,0.0,15.0
normal,0.95,0.79,0.87,0.0,19.0
normal,0.85,1.58,0.77,0.0,19.0
normal,7.62,1.21,0.81,0.0,8.0
anomaly,6.77,1.4,0.83,0.0,3.0
normal,2.75,1.54,0.75,0.0,18.0
normal,2.94,1.03,0.98,0.0,8.0
normal,6.94,1.69,0.84,0.0,11.0
normal,2.33,0.76,0.94,0.0,19.0
normal,5.22,1.08,0.91,0.0,6.0
anomaly,5.27,1.46,0.82,0.0,23.0
normal,1.1,0.39,0.75,0.0,19.0
anomaly,38.48,0.18,0.74,0.0,10.0
normal,3.93,0.94,0.84,0.0,6.0
normal,0.4,1.08,0.76,0.0,12.0
normal,11.96,1.29,1.0,0.0,9.0
normal,2.46,1.21,0.95,0.0,10.0
normal,12.02,0.81,0.73,0.0,18.0
normal,2.05,1.0,0.86,0.0,13.0
normal,1.33,1.62,0.91,0.0,9.0
normal,20.0,1.15,0.87,0.0,11.0
anomaly,7.34,1.0,0.73,0.0,4.0
normal,6.98,0.87,0.77,0.0,21.0
normal,6.09,1.23,0.93,0.0,22.0
normal,8.18,1.15,0.71,0.0,13.0
normal,1.29,1.63,0.95,0.0,15.0
normal,3.28,0.86,0.79,0.0,20.0
normal,9.17,0.91,0.77,0.0,14.0
normal,0.3,1.55,0.75,0.0,17.0
normal,0.4,1.61,0.82,0.0,20.0
normal,0.07,1.3,0.9,0.0,11.0
normal,5.24,1.01,0.9,0.0,17.0
normal,4.18,0.67,0.97,0.0,11.0
normal,5.16,1.09,0.9,0.0,17.0
normal,15.75,1.12,0.99,0.0,13.0
normal,1.4,1.48,0.76,0.0,19.0
normal,8.33,1.88,0.99,0.0,7.0
normal,5.72,1.3,0.98,0.0,11.0
normal,1.63,0.75,0.76,0.0,20.0
normal,3.27,0.69,0.83,0.0,6.0
normal,3.35,1.53,0.99,0.0,20.0
normal,0.73,1.24,0.7,0.0,7.0
normal,1.65,1.03,1.0,0.0,11.0
normal,0.37,1.11,0.79,0.0,12.0
normal,0.27,1.44,0.89,0.0,8.0
normal,3.22,1.48,0.78,0.0,10.0
normal,5.09,1.15,0.82,0.0,8.0
normal,5.04,0.76,0.78,0.0,13.0
anomaly,191.75,0.0,0.96,1.0,23.0
normal,1.67,1.12,0.76,0.0,8.0
normal,0.41,0.81,0.79,0.0,8.0
normal,2.01,0.99,0.94,0.0,19.0
normal,1.74,0.81,0.98,0.0,19.0
normal,0.73,0.89,0.74,0.0,7.0
normal,16.48,1.22,0.84,0.0,8.0
normal,5.34,0.9,0.74,0.0,17.0
normal,4.15,1.32,0.87,0.0,14.0
normal,0.53,1.45,0.87,0.0,22.0
normal,4.64,1.42,0.74,0.0,14.0
normal,7.91,1.65,0.71,0.0,11.0
normal,1.88,0.66,0.75,0.0,17.0
normal,17.99,1.78,0.91,0.0,15.0
normal,3.25,1.58,0.81,0.0,8.0
normal,3.35,0.93,0.79,0.0,14.0
normal,0.85,1.22,0.7,0.0,6.0
normal,1.34,1.16,0.96,0.0,6.0
normal,1.4,1.18,0.76,0.0,7.0
anomaly,148.2,0.06,0.87,1.0,16.0
normal,2.47,0.86,0.76,0.0,18.0
normal,0.52,1.07,0.93,0.0,10.0
normal,9.79,1.16,0.82,0.0,10.0
normal,1.54,1.03,0.74,0.0,12.0
anomaly,97.48,0.21,0.65,0.0,4.0
normal,8.11,1.38,0.87,0.0,20.0
normal,6.91,0.94,0.74,0.0,6.0
normal,12.19,1.62,0.97,0.0,16.0
normal,2.43,1.19,0.93,0.0,7.0
normal,14.07,0.9,0.88,0.0,13.0
normal,2.58,1.1,0.97,0.0,17.0
normal,7.94,0.92,0.87,0.0,9.0
anomaly,45.01,0.08,0.85,1.0,16.0
normal,1.72,1.39,0.81,0.0,11.0
normal,0.72,0.98,0.89,0.0,18.0
normal,4.07,1.39,0.9,0.0,15.0
normal,4.09,1.18,0.97,0.0,9.0
normal,7.15,1.19,0.78,0.0,18.0
normal,5.61,1.07,0.95,0.0,13.0
normal,0.08,1.19,0.89,0.0,11.0
normal,4.56,1.08,0.86,0.0,15.0
normal,0.92,0.68,0.73,0.0,9.0
anomaly,56.55,0.2,0.83,0.0,10.0
normal,3.57,1.3,0.93,0.0,12.0
normal,0.7,1.22,0.94,0.0,7.0
normal,0.92,1.61,0.95,0.0,22.0
normal,0.17,1.48,1.0,0.0,13.0
normal,0.77,1.4,0.77,0.0,17.0
normal,10.79,1.21,0.79,0.0,21.0
normal,5.96,0.62,0.91,0.0,11.0
normal,5.01,1.08,0.84,0.0,13.0
normal,2.19,1.27,0.83,0.0,19.0
normal,20.0,1.46,0.87,0.0,11.0
normal,7.55,0.93,0.9,0.0,11.0
normal,3.35,1.42,0.91,0.0,18.0
normal,0.27,1.46,0.78,0.0,14.0
normal,3.02,1.37,0.82,0.0,22.0
normal,11.64,0.92,0.99,0.0,7.0
normal,2.6,1.23,0.76,0.0,11.0
normal,14.3,1.57,0.8,0.0,20.0
normal,3.51,0.88,0.76,0.0,21.0
normal,20.0,1.41,0.74,0.0,19.0
normal,2.36,1.53,0.87,0.0,14.0
normal,6.48,1.48,0.81,0.0,9.0
normal,0.63,1.24,0.99,0.0,11.0
normal,13.0,0.8,0.9,0.0,11.0
normal,8.42,1.22,0.71,0.0,12.0
normal,1.39,1.3,0.7,0.0,17.0
normal,2.67,1.61,0.81,0.0,17.0
normal,4.32,0.65,0.92,0.0,19.0
normal,2.64,1.19,0.84,0.0,17.0
normal,2.83,0.99,0.89,0.0,17.0
normal,0.72,0.93,0.89,0.0,19.0
normal,3.21,0.95,0.89,0.0,12.0
normal,2.55,1.58,0.94,0.0,17.0
normal,3.24,1.28,0.95,0.0,10.0
normal,3.06,1.41,1.0,0.0,7.0
normal,9.35,0.95,0.92,0.0,14.0
normal,4.5,1.74,0.85,0.0,13.0
normal,10.52,1.93,0.75,0.0,8.0
normal,1.86,1.15,0.72,0.0,14.0
normal,0.25,1.19,0.79,0.0,6.0
normal,2.73,1.38,0.89,0.0,22.0
normal,6.09,1.38,0.74,0.0,15.0
normal,1.84,1.11,0.81,0.0,14.0
normal,7.77,1.69,0.8,0.0,13.0
normal,4.34,0.65,0.84,0.0,20.0
normal,1.19,1.08,0.97,0.0,20.0
normal,2.45,1.51,0.85,0.0,6.0
normal,14.93,1.19,0.95,0.0,19.0
normal,3.72,1.54,0.77,0.0,12.0
normal,0.04,1.42,0.99,0.0,13.0
normal,0.51,1.33,0.97,0.0,22.0
normal,9.59,1.4,0.71,0.0,11.0
normal,2.98,1.41,0.9,0.0,18.0
normal,0.27,1.25,0.83,0.0,8.0
normal,6.38,1.04,0.74,0.0,14.0
normal,2.0,1.4,0.97,0.0,13.0
normal,8.7,1.47,0.99,0.0,15.0
anomaly,9.46,1.14,0.89,0.0,3.0
normal,0.05,0.49,0.9,0.0,15.0
normal,4.97,1.22,0.74,0.0,10.0
normal,17.38,1.28,0.91,0.0,8.0
normal,1.02,1.34,0.73,0.0,14.0
normal,1.71,1.34,0.98,0.0,20.0
normal,3.15,1.34,0.74,0.0,19.0
normal,0.23,1.31,0.73,0.0,18.0
normal,4.93,1.24,0.91,0.0,6.0
normal,3.06,1.1,0.74,0.0,7.0
normal,13.81,0.94,0.99,0.0,17.0
normal,7.82,1.23,0.83,0.0,14.0
normal,1.2,1.69,0.99,0.0,9.0
normal,5.35,1.05,0.89,0.0,21.0
normal,1.85,0.72,0.8,0.0,11.0
normal,20.0,1.15,0.85,0.0,18.0
normal,1.2,1.73,0.88,0.0,8.0
normal,13.39,0.68,0.79,0.0,15.0
normal,3.81,1.66,0.76,0.0,16.0
normal,7.92,1.15,0.98,0.0,17.0
normal,7.3,1.62,0.92,0.0,9.0
normal,3.64,1.34,0.81,0.0,6.0
normal,1.89,0.89,0.92,0.0,19.0
anomaly,0.86,1.26,0.78,0.0,4.0
normal,0.55,1.0,0.72,0.0,6.0
normal,3.9,1.45,1.0,0.0,14.0
normal,10.06,1.6,0.81,0.0,14.0
anomaly,6.59,1.2,0.93,0.0,4.0
normal,4.59,1.72,0.99,0.0,15.0
normal,5.82,0.94,0.96,0.0,9.0
normal,7.35,1.51,0.79,0.0,12.0
normal,13.78,1.12,0.92,0.0,12.0
normal,2.03,1.46,0.97,0.0,17.0
normal,1.88,0.62,0.89,0.0,17.0
normal,0.82,0.97,0.78,0.0,13.0
normal,4.88,0.88,0.84,0.0,17.0
normal,2.2,1.09,0.81,0.0,10.0
normal,6.14,1.12,0.8,0.0,20.0
normal,14.45,1.41,0.95,0.0,7.0
normal,2.73,1.13,0.81,0.0,18.0
normal,1.18,1.65,0.97,0.0,18.0
normal,9.88,0.94,0.78,0.0,11.0
normal,13.71,1.45,0.73,0.0,18.0
normal,6.16,0.72,0.84,0.0,13.0
normal,4.22,0.76,0.99,0.0,21.0
normal,1.14,0.8,0.86,0.0,20.0
normal,1.66,0.93,0.8,0.0,12.0
normal,1.56,1.38,0.76,0.0,21.0
normal,8.11,1.08,0.81,0.0,11.0
normal,3.77,0.68,0.86,0.0,21.0
normal,4.91,1.64,0.79,0.0,12.0
normal,13.24,1.28,0.94,0.0,12.0
normal,8.98,1.07,0.72,0.0,19.0
normal,16.61,1.48,0.72,0.0,18.0
normal,7.94,1.52,0.98,0.0,14.0
normal,1.26,1.41,0.89,0.0,21.0
normal,2.73,1.21,0.92,0.0,19.0
normal,3.61,1.72,0.89,0.0,12.0
normal,7.93,1.05,0.94,0.0,7.0
normal,12.44,1.0,0.9,0.0,7.0
normal,1.62,0.26,0.72,0.0,6.0
normal,2.11,1.13,0.84,0.0,9.0
normal,4.05,1.43,0.89,0.0,6.0
normal,0.52,1.22,0.81,0.0,13.0
anomaly,0.86,1.27,0.82,0.0,5.0
normal,4.07,1.54,0.85,0.0,16.0
normal,4.36,1.82,0.89,0.0,10.0
normal,0.59,1.24,0.98,0.0,10.0
normal,1.81,1.06,0.95,0.0,8.0
